character,pinyin,part_of_speech,definition
大,da4,2,(1) 达到很广范围或很高程度，大肆 约以连兵大举。宋 · 文天祥 《指南录·后序》 此臣所课大患也。宋 · 苏轼 《教战守》 又如:大长志气;大吃一惊;大大增加;大办农业 (2) 很，太，非常 居简而行简，无乃大简乎? 大谩，愿闻其要。告之以大古，教之以至顺。少年大骇。门者答揖大喜奔出。明 · 宗臣 《报刘一丈书》 何竟日默默在此，大类女郎也。明 · 归有光 《项脊轩志》。又如:不大好;不大舒服;大肯(非常愿意) (3) 经常 加“不大”则表示不经常。如:不大吃面;不大回家 (4) 前天或后天的前一天或后一天。如:大前天;大后天
大,da4,6,(1) 大人 刘道生 日夕在事，大小殊快。小大稽首。 (2) 大小 今年杀诸贼奴，当取金印如斗大。 (3) 〈方〉∶父亲。如:俺大叫俺来上海看看你 (4) 〈方〉∶指伯父或叔父。如:俺三大是个劳模 (5) 姓
大,da4,10,(1) 长大 小时了了，大未必佳。 (2) 超过 亦无大大王。
靓,liang4,5,(1) 〈方〉∶好看;漂亮。如:靓姐
冯,feng2,6,(1) 古地名 郑 于是乎伐 冯 、 滑 、 胥靡 ， 负 黍 、 狐 人 、 阙外。 (2) 姓
冯,feng2,0,(1) 姓。
冠,guan1,6,(1) (会意。从 “冖” ( mì)， 用布帛蒙覆。从 “元” (人头)，从 “寸” (手)。意思是:手拿布帛之类的制品加在人的头上，即 “冠”。本义:帽子) (2) 同本义 冠，弁冕之总名也。冠至尊也。缁布冠。。注: “今小吏冠。” 凡甸冠弁服。怒发上冲冠。新沐者必弹冠。冠盖相望，乘坚策肥。汉 · 晁错 《论贵粟疏》 小民罢市，丧出江上，白衣冠送者夹岸。峨大冠，拖长绅者，昂昂乎庙堂之器也，果能建 伊 皋 之业耶? 明 · 刘基 《卖柑者言》 (3) 又如:衣冠整齐;怒发冲冠;二十而冠;冠礼;冠巾;冠玉(帽子上装饰的美玉。后多用来指代美男子);冠佩(帽子与佩玉。亦指官吏士绅);冠绶(礼帽与印绶) (4) 顶端。如:群芳之冠;冠石(以三石为足而耸立于地的大石) (5) 指突起像帽子的东西。如:树冠;花冠;冠珥(太阳边缘外面的发光气团);冠锈病 (6) 公鸡头上的肉瘤或高出的羽毛 旋见鸡伸颈摆扑，临视，则虫集冠上，加丁不释。 (7) 如:鸡冠
冠,guan4,10,(1) 戴;戴帽子 带长铗之陆离兮，冠切云之崔嵬。许子 冠乎?曰: “冠”。曰: “奚冠?” 曰: “冠素。”  孟尝君 怪其疾也，衣冠而见之。 (2) 又如:沐猴而冠;冠带(戴帽系带子。借指穿着官服);冠巾(戴上帽子、头巾);冠狗(戴帽的狗。比喻不知礼义的人) (3) 超出众人;超过;位居第一 位冠群臣，声施后世。将军勇冠三军，才为出世，弃燕雀之小志，慕鸿鹄以高翔。南朝 梁 · 丘迟 《与陈伯之书》 近世 寇莱公 豪侈冠一时，然以功业大，人莫之非。宋 · 司马光 《训俭示康》 (4) 又如:冠带医生(大医院有称职的医生);冠首(位居于众人之上);冠绝(遥居首位);冠伦(盖过同辈) (5) 加在前头。如:冠头(加在前头);冠序(在书前加序言);冠篇(写序言);冠以题辞
冠,guan4,6,(1) 古代男子到成年则举行加冠礼，叫做冠。一般在二十岁 男子二十冠而字。既加冠，益慕圣贤之道。明 · 宋濂 《送东阳马生序》 冠者五六人，童子六七人，浴乎沂，风乎舞雩，咏而归。弱冠弄柔翰。左思 《咏史》 (2) 又如:冠字(古代男子二十岁而冠，并赐以字);冠士(已行过冠礼的成年之士);冠子(已行过冠礼的男子。指二十岁成年男子);冠岁(男子二十岁);弱冠(刚成年);冠者(指成年人) (3) 排于首位的事例。如:冠部(吏部。古代中央设六部，以吏部为首);冠族(显贵的豪门世族);冠首(首位) (4) 胜利的奖赏或荣誉的标志，尤指代表运动中获得冠军的称号。如:夺冠 (5) ∶冠词的简称
秤,cheng4,6,(1) 同 “称”。利用杠杆原理量物体轻重的器具。如:秤权(秤锤);秤等(用秤或戥子测量轻重，掂量);秤心(谓心无偏私，公平如秤);杆秤;市秤;磅秤;弹簧秤 (2) 同 “称”。中国古代重量单位。十五斤为一秤 俺有敕命一道，封 宋江 为镇国大将军，总领 辽 兵大元帅，赐与金一提，银一秤，权当信物。
喳,zha1,13,(1) (形声。从口，查声。本义:啁啾;震颤声) (2) 同本义 隔窗野鹊儿喳喳地叫。 (3) 又如:喳喳(鸟鸣声;高叫声);唧唧喳喳 (4) 下级(或仆人)对上级(或主人)的应诺声 只见那家人连声应道: “喳!喳!” 回头就去了。
喳,cha1,0,(1) 低语声：嘁嘁喳喳。
头,tou2,6,(1) (形声。从页( xié )，豆声。页，人头。头在战国时期才出现，首出现较早。本义:首) (2) 同本义 本指人的头部，后也泛指各种动物的头部 頭，首也。头者，神所居。头容直。左头奉之。杀人者刎头。注 王购子头千金。晋 · 干宝 《搜神记》 将子头与剑来。系向牛头充炭直。唐 · 白居易 《卖炭翁》 举头望明月。唐 · 李白 《静夜思》 低头思故乡。又如:头直上(头顶上);光头(剃光的头;头上没有戴帽子);头大(形容遇到困难头昏脑胀的样子);头抵(敌对，对头。也作“头敌”、“敌头”);头足异处(头脚分离。指人被杀。也作“头足异所”);头昏脑闷(头脑昏晕。形容思虑不清) (3) 发，毛发。如:头须(束发的丝带);剃头;平头;头毛(头发);头白(老人发白。即白头);头发上指(形容盛怒);头发种种(形容老人头发短少) (4) 事情的开端。如:起头;从头做起;头裹(开始);头阵(一切事情的开端或前段);头达(古代走在最前面的仪仗);头题(杂志目录中最前面的篇目);头讫(开端和结尾);头秋(秋收前的一段时间) (5) 物的两端或末梢 暮至黑山头。明 · 张溥 《五人墓碑记》 既登峰头。船头坐三人。明 · 魏学洢 《核舟记》 又如:水头;梢头;桥头;露头;炕头儿;街头;弹头;杆头;床头 (6) 首领，头儿。如:头目(首领;领导人);他是我们的头儿;头营(驻有指挥部的军营);头头脑脑(为首的人);头马(领头马);头儿脑儿(头面人物);头行人(带头的人) (7) 最上等级。如:头高(指欲望大，要价高);头房(客舍中的上等房间);头酒(最香醇的酒，指醑);头厅(古称中央的最高行政机构) (8) 第一，第一次。如:头上末下(第一次);头食(第一道食品。指面粉);头阵(战斗时的第一次交锋);头纲(指第一批运送到京都的春茶);头筹(第一。较技时得第一称为得头筹) (9) 上一个。如:头年;头天(前一天);头里(先前;事先) (10) 借代人。如:头影(人影子);头役(旧时官府中的差役);头翁(旧时对官府差役的謏称) (11) 特指敌对的人 冤有头，债有主。 (12) 头部有发部分 头，首自发以上为头。 (13) 路;途径。如:分头进军 (14) 赌博或买卖中抽的回扣 凡有卖字画、古董物件的，俱要抽头。
头,tou2,10,(1) 磕头。旧时的一种跪拜礼 父亲母亲吩咐我，叫给舅母行礼，请舅母到厢房里坐下受头。 (2) 〈方〉∶临到;接近。如:头吃饭要洗手;头五点就得动身
头,tou2,11,(1) 件，桩 这头亲事，不是情愿与的。 (2) 如∶多用以计算牲畜 潭中鱼可百许头。唐 · 柳宗元 《至小丘西小石潭记》 以一头进。每责一头。捕得两三头。又如:一头牛;三头猪
头,tou2,4,(1) 置于方位词后，表处所可不译。路转溪头忽见。宋 · 辛弃疾 《西江月》 惶恐滩头说惶恐。宋 · 文天祥 《过零丁洋》 溪头卧剥莲蓬。宋 · 辛弃疾 《清平乐·村居》
头,tou5,6,用於特定名詞之間，如：石头、骨头。
拓,ta4,10,(1) 拓印。在刻铸有文字或图像的器物上蒙一层纸，捶打后使凹凸分明，涂上墨，显出文字图像来 其相承传拓之本，犹在秘府。又如:拓工(拓印的工艺);拓手(摹印石碑上文字、图画的技艺);拓本(拓片装订成的本子);拓印(摹印石碑或器物上的文字、图画);拓墨(拓取用的墨) (2) 以纸片依样制作 新拓来的鞋样子的鞋，刚刚上脚。丁玲 《母亲》 (3) 贴 就是前日被瘟官打的棒疮，在暗地狱里讨个烂膏药拓了。清 · 张南庄 《何典》 (4) 涂抹 极鬼便纠合几个同道中，来到村里，拣个僻静所在，拓花了面孔，扎扮停当，…打进门去。清 · 张南庄 《何典》
拓,tuo4,10,(1) 举，托起 孔子 之劲，能拓国门之关。。注:“拓，举也。” (2) 开辟;扩展 步拓地寖广，兵甲日盛。辟土四面，拓地千里。拓世贻统。颜延之 《三月三日曲水诗序》 又如:拓地(开拓疆土);拓界(开拓疆界);拓宇(开辟疆域);拓造(开辟创造);拓销(开辟销路);拓边(开拓边疆);拓辟(开辟) (3) 把物推开 拓，手推物。 (4) 张开 至是， 张 ] 浦 见士皆拓两石弓有余力，大骇。吴广成 《西夏书事》
拓,tuo4,5,(1) 开阔的。如:拓大(庞大)
拓,tuo4,0,(1) 见“落拓”（ luòtuò ）
纪,ji4,6,(1) (形声。从糸( mì )，表示与线丝有关，己声。本义:散丝的头绪) (2) 同本义 纪，别丝也。三纲六纪。纪者，理也。众之纪也。。注:“丝缕之数有纪。” 譬若丝缕之有纪，网罟之有纲。茧之性为丝，然非得工女煮以热汤而抽其统纪，则不能成丝。 (3) 开端，头绪 纪，绪也。又如:乱其纪(事情乱了端绪) (4) 要领 义也者，万事之纪也。故乐者，天地之命，中和之纪，人情之所不能免也。 (5) 纲领;纲纪 纲纪四方。道者，万物之始，是非之纪也。又如:纪经(纲常);纪纲(网罟的纲绳。引申为法纪与政纲;治理;管理);纪序(纲纪次序) (6) 法则;准则 无变天之道，无绝地之理，无乱人之纪。又如:纪法(法律;法规) (7) 纪律。如:法纪(法度和纪律);军纪;纲纪;党纪 (8) 终极。如:纪极(极限);纪限(极限) (9) 仆人。如:纪纲(仆人) (10) 历史上的或人类发展，尤指文化发展方面的一个时代或时期。如:世纪;中世纪 (11) 地质上的分期(长于“世”，包括在一个“代”中)。如:侏罗纪;二叠纪;石炭纪;寒武纪;震旦纪 (12) 十二年的一个时期 如何四纪为天子，不及 卢 家有 莫愁。李商隐 《马嵬》 (13) 杂记、印象或事件的非正式纪录。如:陕北纪行义同“记”，主要用于“纪念、纪年、纪要、纪元、纪传”等，别的地方多用“记” (14) 旧时史书的一种体裁本纪，专记帝王的历史事迹及一代大事。如: 《史记·高祖本纪》 、 《后汉书》 (15) 中国古国名。姜姓，春秋时为齐所灭，故城在今山东省寿光县东南 (16) 姓。如:纪信(公元前?—前204)，汉初将军，赵城人。秦末为刘邦部将，项羽围刘邦于荥阳时，事急纪信伪乘刘邦车出降，刘邦乘隙脱逃，纪信即被项羽杀害;纪昌(古代传说中善于射箭的人)
纪,ji3,6,(1) 姓
纪,ji4,10,(1) 处理;治理 纪农协功。衣食当须纪，力耕不吾欺。陶潜 《移居》 又如:纪理(经纪，管理);纪农(治理农事) (2) 通“记”。记录，记载 夫德，俭而有度，登降有数，文、物以纪之，声、明以发之，以临照百官。司马 子长 纪 黄帝 以至 孝 武。咸用纪宗存主。张衡 《东京赋》 恶能无纪。明 · 袁宏道 《满井游记》 罗缕纪存。清 · 袁枚 《祭妹文》 又如:纪兴(记录兴致);纪功(记载功绩);纪述(记载叙述)
纪,ji3,0,(1) 姓。
同,tong2,10,(1) (会意。从冃，从口。冃( mào )，重复。本义:聚集) (2) 同本义 同，合会也。同重体合类。同人亲也。六曰同衣服。 (3) 又如:云同(云彩聚集);同天(共存于人世间);同合(使相一致;融会);同流(诸水合流) (4) 相同，一样，共同(侧重于同样，齐一) 同事之人，不可不审察也。鸟兽不可与同群。同予者何人。宋 · 周敦颐 《爱莲说》 同于真耶。清 · 薛福成 《观巴黎油画记》 同于幻耶。 (5) 又如:同心戮力(同心合力);同功一体(功绩地位一样);同号(称号相同;运算符号相同);同忾(相同的愤慨);同义(仁义或道义相同);同义字(意义相同的字);同源字(音、义相同或相近) (6) 参与;一起干某事 不知三军之事而同三军之政者，则军士惑矣。 (7) 又如:同举(一同举荐);同乐(一同娱乐);同栖(一同栖息);同休(同享福禄);同枕(共枕而卧);同利(共享利益);同车(同乘一车);同室(同居一室) (8) 共，共一个 上下同欲者胜。俗之同病。清 · 刘开 《问说》 同社诸君子。明 · 张溥 《五人墓碑记》 以同姓为吾后。清 · 全祖望 《梅花岭记》 (9) 又如:同福(共同的福禄) (10) 齐一;统一 死去方知万事空，但悲不见九州同。宋 · 陆游 《示儿》
同,tong2,2,(1) 共同。到一处 同行十二年。同是宦游人。唐 · 王勃 《杜少府之任蜀州》 少同学。明 · 魏禧 《大铁椎传》 既同寝。 (2) 又如:同参(共同参与);同晷(同受日光照耀);同奖(共同辅助);同庆(共同庆贺);同进(一同前进);同举(一同举荐);同来同去;同吃同住;同宿;同游
同,tong2,6,(1) 中国古代诸侯朝见天子的六礼之一。每隔十二年，诸侯一齐来朝见天子叫 “同” 奠此中国，四夷来同。王安石 《赠贾魏公神道碑》 (2) 中国古代土地面积单位，地方百里为同 且昔天子之地一圻，列国一同。 (3) 中国古代爵一类的酒器 (4) 姓
同,tong2,9,(1) 引进共同行动者。 (2) 如:我同你去;我同她说话 (3) 给，为 合共还他三十六，还要同他做一年。
同,tong2,3,(1) 和，表示并列关系。 (2) 如:我同农民;教师同塾师
同,tong4,0,(1) 〔胡同〕见“胡”。
答,da1,0,(1) 义同“答”( dá )，专用于“答应”、“答理”等词
答,da2,10,(1) (形声。从竹，合声。①本义:以竹补篱。②答谢，报答) (2) 回话;应对 听言则答。既发则答君而俟。见渔人，乃大惊，问所以来。具答之。陶潜 《桃花源记》 兰芝 仰头答:“理实如兄言。” 渔歌互答。宋 · 范仲淹 《岳阳楼记》 皆缄口不答。清 · 纪昀 《阅微草堂笔记》 又如:应答如流;答教(预先写好的准备答问的书面文字);答言(用言语回答);答语(回答的话;应对的话) (3) 报礼;报答。引申为酬答 适不答兹谓不次。。注:“报也。” 因厚赂 单于 ，答(报答)其善意。又如:答施(报答恩惠);答效(报效;为报答恩德而为对方尽力)
答,da2,5,(1) 粗厚。如:答布(粗厚的布)
杷,pa2,6,(1) (形声。从木，巴声。( bà )本义:农具名) 一种有齿和长柄的农具。用以耙梳、聚拢，多用竹、木或铁等制成 杷，收麦器。屈竹作杷，削治鹿卢。汉 · 王褒 《僮约》
杷,pa2,10,(1) 通 “爬”。发掘
杷,pa2,0,(1) 见 “枇杷” ( pípa )
的,de5,4,(1) 用在定语后，表示词与词或短语之间的修饰关系。如:红色的气球;小小的进步 (2) 用在定语后，表示定语和中心词之间的领属关系。如:中国的水稻;农民生活的提高 (3) 代 pron. 附着在词或短语之后，构成“的”字结构，代替所指的人或物。如:卖菜的;吃的 (4) 助词。“的”字前后用相同的动词、形容词等，连用这样的结构，表示有这样的，有那样的。如:推的推，拉的拉 (5) 用在谓语动词后面，强调这动作的施事者或时间、地点、方式等。如:谁买的书?;他是昨天进的城;我是在预售处订的票 (6) 用在两个同类的词或词组之后，表示“等等、之类”的意思。如:破铜烂铁的，他捡来一大筐 (7) 用在陈述句的末尾，表示肯定的语气。如:这件事儿我是知道的 (8) 用在两个数量词中间 (9) ∶表示相乘。如:这间房子是五米的三米，合十五平方米 (10) 〈方〉∶表示相加。如:两个的三个，一共五个 (11) 同“得”，后面带补语 那知进了园门，园子里已结坐的满满的了。 (12) 同“地”( de )。用在状语后，表示状语和中心词之间的修饰关系
